datetime,epoch_seconds,event,area,addr,value,detail
2026-07-29 12:19:56,1785295196.028,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:56,1785295196.262,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:56,1785295196.494,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:56,1785295196.747,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:56,1785295196.996,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:57,1785295197.231,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:57,1785295197.469,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:57,1785295197.699,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:57,1785295197.951,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:19:58,1785295198.184,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': True, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': True, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
